Strain_0,Stifness_0,Strain_1,Stifness_1,Strain_2,Stifness_2
0.0,63.321407407407406,0.0,62.30592592592592,0.0,64.47533333333334
0.1535771494740905,63.68985185185185,0.1535771494740905,62.93037037037037,0.1535771494740905,64.5291111111111
0.3071523690051144,63.419555555555554,0.3071523690051144,62.726814814814816,0.3071523690051144,64.07422222222222
0.4607295184792049,63.184,0.4607295184792049,62.657259259259256,0.4607295184792049,63.83155555555555
0.614308597896362,62.874148148148144,0.614308597896362,62.41244444444444,0.614308597896362,63.46318518518519
0.7678857473704526,62.4582962962963,0.7678857473704526,61.98859259259259,0.7678857473704526,62.977259259259256
0.9214628968445431,61.81422222222222,0.9214628968445431,61.38666666666666,0.9214628968445431,62.25925925925927
1.0750381163755671,61.012740740740746,1.0750381163755671,60.63237037037037,1.0750381163755671,61.406814814814815
1.2286152658496576,60.12718518518518,1.2286152658496576,59.75066666666667,1.2286152658496576,60.50792592592593
1.3821924153237481,59.13985185185185,1.3821924153237481,58.74607407407408,1.3821924153237481,59.449111111111115
1.5357676348547717,58.03592592592592,1.5357676348547717,57.650444444444446,1.5357676348547717,58.29644444444445
1.6893467142719292,56.912222222222226,1.6893467142719292,56.6717037037037,1.6893467142719292,57.077703703703705
1.8429315835182862,55.60911111111112,1.8429315835182862,55.39370370370371,1.8429315835182862,55.74607407407408
1.9964971533339766,54.33348148148148,1.9964971533339766,54.05533333333334,1.9964971533339766,54.50511111111111
2.150082022580334,52.95251851851852,2.150082022580334,52.67333333333334,2.150082022580334,53.15118518518519
